Country,Time,House Price Index,Income Index,Affordability Ratio
Australia,2002-Q1,100.0,100.0,100.0
Australia,2002-Q2,105.94848935116391,100.0,105.95
Australia,2002-Q3,110.36404160475482,100.0,110.36
Australia,2002-Q4,114.395740465577,100.0,114.4
Australia,2003-Q1,117.46656760772657,105.95585048838029,110.86
Australia,2003-Q2,123.79891035165925,105.95585048838029,116.84
Australia,2003-Q3,143.42496285289747,105.95585048838029,135.36
Australia,2003-Q4,146.61961367013373,105.95585048838029,138.38
Australia,2004-Q1,145.0222882615156,111.61117076186571,129.94
Australia,2004-Q2,145.0222882615156,111.61117076186571,129.94
Australia,2004-Q3,145.222882615156,111.61117076186571,130.12
Australia,2004-Q4,147.62010896483406,111.61117076186571,132.26
Australia,2005-Q1,147.81822684497274,114.01730806549526,129.65
Australia,2005-Q2,149.6161466072313,114.01730806549526,131.22
Australia,2005-Q3,149.6161466072313,114.01730806549526,131.22
Australia,2005-Q4,150.61664190193164,114.01730806549526,132.1
Australia,2006-Q1,152.21396731054978,119.77986877554827,127.08
Australia,2006-Q2,156.40911342248637,119.77986877554827,130.58
Australia,2006-Q3,156.40911342248637,119.77986877554827,130.58
Australia,2006-Q4,159.0044576523031,119.77986877554827,132.75
Australia,2007-Q1,159.20505200594354,126.72594794915317,125.63
Australia,2007-Q2,166.99603764239723,126.72594794915317,131.78
Australia,2007-Q3,171.79049034175333,126.72594794915317,135.56
Australia,2007-Q4,175.98563645368995,126.72594794915317,138.87
Australia,2008-Q1,176.198613174839,135.822007568358,129.73
Australia,2008-Q2,174.6631996037642,135.822007568358,128.6
Australia,2008-Q3,171.39177810797423,135.822007568358,126.19
Australia,2008-Q4,169.79197622585437,135.822007568358,125.01
Australia,2009-Q1,172.38979692917286,137.52144705233445,125.35
Australia,2009-Q2,178.5809806835067,137.52144705233445,129.86
Australia,2009-Q3,185.17335314512133,137.52144705233445,134.65
Australia,2009-Q4,195.3615651312531,137.52144705233445,142.06
Australia,2010-Q1,199.9554234769688,145.38297680668103,137.54
Australia,2010-Q2,203.94997523526496,145.38297680668103,140.28
Australia,2010-Q3,201.5527488855869,145.38297680668103,138.64
Australia,2010-Q4,203.15255076770677,145.38297680668103,139.74
Australia,2011-Q1,202.35264982664685,149.85621309294277,135.03
Australia,2011-Q2,202.55324418028727,149.85621309294277,135.17
Australia,2011-Q3,199.7548291233284,149.85621309294277,133.3
Australia,2011-Q4,197.15948489351163,149.85621309294277,131.57
Australia,2012-Q1,201.35463100544823,150.58719303544882,133.71
Australia,2012-Q2,200.75532441802872,150.58719303544882,133.32
Australia,2012-Q3,200.75532441802872,150.58719303544882,133.32
Australia,2012-Q4,205.148588410104,150.58719303544882,136.23
Australia,2013-Q1,206.54779593858342,155.05941820951762,133.21
Australia,2013-Q2,211.94155522535905,155.05941820951762,136.68
Australia,2013-Q3,216.13670133729568,155.05941820951762,139.39
Australia,2013-Q4,223.12778603268947,155.05941820951762,143.9
